repo,file,line,kind,message,label
requests,src/requests/__init__.py,146,specific-except,except clause swallows errors (specific-except),
requests,src/requests/compat.py,43,specific-except,except clause swallows errors (specific-except),
requests,src/requests/models.py,1110,specific-except,except clause swallows errors (specific-except),
requests,src/requests/sessions.py,823,specific-except,except clause swallows errors (specific-except),
requests,src/requests/utils.py,178,specific-except,except clause swallows errors (specific-except),
requests,src/requests/utils.py,279,specific-except,except clause swallows errors (specific-except),
requests,tests/test_requests.py,2575,specific-except,except clause swallows errors (specific-except),
requests,tests/test_requests.py,2596,specific-except,except clause swallows errors (specific-except),
requests,tests/testserver/server.py,91,specific-except,except clause swallows errors (specific-except),
click,examples/aliases/aliases.py,22,specific-except,except clause swallows errors (specific-except),
click,src/click/_termui_impl.py,599,specific-except,except clause swallows errors (specific-except),
click,src/click/_termui_impl.py,615,specific-except,except clause swallows errors (specific-except),
click,src/click/_termui_impl.py,629,specific-except,except clause swallows errors (specific-except),
click,src/click/_termui_impl.py,961,specific-except,except clause swallows errors (specific-except),
click,src/click/decorators.py,226,specific-except,except clause swallows errors (specific-except),
click,src/click/termui.py,1020,specific-except,except clause swallows errors (specific-except),
click,src/click/testing.py,797,specific-except,except clause swallows errors (specific-except),
click,src/click/types.py,1378,specific-except,except clause swallows errors (specific-except),
flask,src/flask/cli.py,1036,specific-except,except clause swallows errors (specific-except),
flask,src/flask/cli.py,1098,specific-except,except clause swallows errors (specific-except),
black,action/main.py,120,specific-except,except clause swallows errors (specific-except),
black,scripts/fuzz.py,65,specific-except,except clause swallows errors (specific-except),
black,src/black/__init__.py,1213,specific-except,except clause swallows errors (specific-except),
black,src/black/cache.py,155,specific-except,except clause swallows errors (specific-except),
black,src/black/concurrency.py,123,specific-except,except clause swallows errors (specific-except),
black,src/black/concurrency.py,208,specific-except,except clause swallows errors (specific-except),
black,src/black/files.py,162,specific-except,except clause swallows errors (specific-except),
black,src/black/files.py,166,specific-except,except clause swallows errors (specific-except),
black,src/black/files.py,292,specific-except,except clause swallows errors (specific-except),
black,src/black/handle_ipynb_magics.py,166,specific-except,except clause swallows errors (specific-except),
black,src/black/parsing.py,188,specific-except,except clause swallows errors (specific-except),
black,src/blib2to3/pgen2/conv.py,243,specific-except,except clause swallows errors (specific-except),
black,src/blib2to3/pgen2/driver.py,267,specific-except,except clause swallows errors (specific-except),
black,src/blib2to3/pgen2/driver.py,281,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/context_managers_autodetect_311.py,7,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/context_managers_autodetect_311.py,28,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/pep_654.py,4,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/pep_654.py,13,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/pep_654_style.py,4,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/pep_654_style.py,13,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/pep_654_style.py,62,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/pep_654_style.py,71,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,12,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,17,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,23,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,28,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,34,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,39,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,45,specific-except,except clause swallows errors (specific-except),
