repo,sha,date,file,loc,warns_dup,warns_em,churn_14d
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,tests/http_protocol_test.py,409,0,0,11
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/test_utils.py,287,0,0,59
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,tests/http_client_functional_test.py,673,0,0,6
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/wsclient.py,101,0,0,4
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,tests/http_parser_test.py,509,0,0,78
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/crawl.py,104,0,0,8
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,setup.py,38,0,0,11
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,tests/test_connector.py,0,0,0,342
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/srv.py,165,0,0,7
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/protocol.py,818,6,0,22
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,tests/parsers_test.py,657,0,0,246
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/server.py,290,0,1,57
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/parsers.py,444,9,0,247
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/wssrv.py,316,0,0,30
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,tests/http_session_test.py,186,0,0,76
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/tcp_protocol_parser.py,176,0,0,2
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/mpsrv.py,296,0,0,9
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,tests/test_client.py,0,0,0,77
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,tests/test_parsers.py,0,0,0,9
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,tests/http_wsgi_test.py,302,0,0,110
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,tests/test_client_functional.py,0,0,0,68
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/session.py,116,1,0,202
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/connector.py,0,0,0,276
