repo,sha,date,file,loc,warns_dup,warns_em,churn_14d
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,blib2to3/pgen2/pgen.py,386,2,0,0
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,blib2to3/pgen2/driver.py,178,0,0,9
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/debug_visitor.py,0,0,0,32
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,blib2to3/pgen2/tokenize.py,518,0,0,111
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/empty_lines.py,0,0,0,185
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/comments4.py,0,0,0,76
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/python2.py,0,0,0,33
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/function.py,167,0,0,42
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/import_spacing.py,71,0,0,2
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/comments3.py,0,0,0,38
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,blib2to3/pygram.py,40,0,0,7
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,blib2to3/pgen2/token.py,83,0,0,6
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/comments.py,60,0,0,28
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,docs/conf.py,0,0,0,310
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/test_black.py,247,0,0,110
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,black.py,1542,10,0,1339
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,setup.py,69,0,0,19
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/fmtonoff.py,0,0,0,177
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,blib2to3/pgen2/conv.py,257,2,0,0
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,blib2to3/pytree.py,854,2,0,0
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/expression.py,257,0,0,82
black,6ba615092e0b323072058f0a90bb7ab301957b7f,2018-03-16T17:09:23-07:00,tests/comments2.py,202,0,0,53
black,fa159bb3576b0d8a79eb4a93f13b38c29adbcfa0,2018-03-29T21:20:50-07:00,blib2to3/pgen2/pgen.py,386,2,0,0
black,fa159bb3576b0d8a79eb4a93f13b38c29adbcfa0,2018-03-29T21:20:50-07:00,tests/fstring.py,5,0,0,8
black,fa159bb3576b0d8a79eb4a93f13b38c29adbcfa0,2018-03-29T21:20:50-07:00,blib2to3/pgen2/driver.py,183,0,0,6
black,fa159bb3576b0d8a79eb4a93f13b38c29adbcfa0,2018-03-29T21:20:50-07:00,blib2to3/pgen2/tokenize.py,591,0,0,105
