repo,sha,date,file,loc,warns_dup,warns_em,churn_14d
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/decorators.py,0,0,0,281
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/utils.py,0,0,0,250
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/_compat.py,0,0,0,107
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/_optparse.py,0,0,0,1226
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click.py,1614,0,2,245
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/termui.py,0,0,0,24
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/helpers.py,0,0,0,239
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,docs/conf.py,217,0,0,4
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/core.py,0,0,0,800
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,docs/clickdoctools.py,0,0,0,313
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,examples/repo/repo.py,72,0,0,145
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/parser.py,0,0,0,379
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,examples/inout/inout.py,13,0,0,33
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,tests/test_arguments.py,0,0,0,49
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,setup.py,18,0,0,12
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/__init__.py,0,0,0,110
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click.py => click/core.py,0,0,0,878
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,tests/test_commands.py,0,0,0,58
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,tests/test_basic.py,0,0,0,361
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,tests/conftest.py,0,0,0,210
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/exceptions.py,0,0,0,68
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/types.py,0,0,0,354
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,tests/test_formatting.py,0,0,0,50
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,tests/test_options.py,0,0,0,55
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,click/formatting.py,0,0,0,374
click,23d3f68126168ce7be34aac162a22c7200ebc657,2014-04-25T00:07:45+02:00,tests/test_context.py,0,0,0,93
click,40987c9fd7ae1a8c817cfa85940bd91554918951,2014-05-02T02:54:48+01:00,tests/test_testing.py,0,0,0,83
click,40987c9fd7ae1a8c817cfa85940bd91554918951,2014-05-02T02:54:48+01:00,click/utils.py,40,0,1,277
click,40987c9fd7ae1a8c817cfa85940bd91554918951,2014-05-02T02:54:48+01:00,click/decorators.py,265,0,0,66
