repo,sha,date,file,loc,warns_dup,warns_em,churn_14d,age_days
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/test_utils.py,287,0,0,59,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/wsclient.py,101,0,0,4,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/crawl.py,104,0,0,8,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,setup.py,38,0,0,11,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/srv.py,165,0,0,7,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/protocol.py,818,6,0,22,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/server.py,290,0,1,57,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/parsers.py,444,9,0,247,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/wssrv.py,316,0,0,30,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/tcp_protocol_parser.py,176,0,0,2,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/mpsrv.py,296,0,0,9,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/session.py,116,1,0,202,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/__init__.py,14,0,0,22,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/client.py,982,5,0,642,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/wsgi.py,233,0,0,22,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,examples/curl.py,24,0,0,10,180
aiohttp,010ea92db0160e6a603b37683b3cf2749dfdd6d6,2014-03-31T10:18:11-07:00,aiohttp/websocket.py,231,0,0,6,180
aiohttp,e978361902b566cb4a97200ad522b0b7f2aa23c4,2014-09-12T14:37:16+02:00,aiohttp/server.py,326,0,1,0,345
aiohttp,e978361902b566cb4a97200ad522b0b7f2aa23c4,2014-09-12T14:37:16+02:00,aiohttp/client.py,897,3,0,25,345
aiohttp,e978361902b566cb4a97200ad522b0b7f2aa23c4,2014-09-12T14:37:16+02:00,aiohttp/streams.py,403,10,0,0,69
aiohttp,e978361902b566cb4a97200ad522b0b7f2aa23c4,2014-09-12T14:37:16+02:00,aiohttp/parsers.py,449,3,0,0,345
aiohttp,e978361902b566cb4a97200ad522b0b7f2aa23c4,2014-09-12T14:37:16+02:00,aiohttp/connector.py,432,1,0,0,158
aiohttp,e978361902b566cb4a97200ad522b0b7f2aa23c4,2014-09-12T14:37:16+02:00,aiohttp/protocol.py,857,4,0,0,345
aiohttp,e978361902b566cb4a97200ad522b0b7f2aa23c4,2014-09-12T14:37:16+02:00,aiohttp/websocket.py,253,0,0,45,345
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,aiohttp/test_utils.py,307,0,0,8,378
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,setup.py,47,0,0,3,378
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,aiohttp/protocol.py,858,4,0,28,378
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,aiohttp/server.py,326,0,1,0,378
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,aiohttp/helpers.py,260,0,0,128,104
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,aiohttp/parsers.py,449,3,0,0,378
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,aiohttp/multidict.py,240,0,0,31,138
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,aiohttp/streams.py,403,10,0,0,102
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,aiohttp/connector.py,432,1,0,0,191
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,aiohttp/__init__.py,22,0,0,6,378
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,aiohttp/client.py,926,3,0,10,378
aiohttp,2f856f59f1ab99989b815ae1b6e84ed68788db1b,2014-10-15T09:45:54-07:00,docs/conf.py,282,0,0,4,224
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/test_utils.py,307,0,0,8,380
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/streams.py,403,10,0,0,104
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/connector.py,432,1,0,0,192
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/protocol.py,858,4,0,28,380
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/web.py,639,0,0,2126,3
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/__init__.py,22,0,0,2,380
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/server.py,326,0,1,8,380
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/helpers.py,260,0,0,128,105
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/client.py,926,3,0,21,380
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,examples/web_srv.py,55,0,0,8,2
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/parsers.py,449,3,0,0,380
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/multidict.py,260,0,0,9,140
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,aiohttp/abc.py,18,0,0,2,0
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,examples/wssrv.py,318,0,0,2,380
aiohttp,e125893c26289493990627dcc7fdbca35ae57b67,2014-10-16T19:08:07-07:00,examples/mpsrv.py,293,0,0,2,380
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,aiohttp/test_utils.py,307,0,0,8,381
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,aiohttp/streams.py,403,10,0,0,105
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,aiohttp/web.py,646,0,0,1889,4
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,aiohttp/connector.py,432,1,0,0,194
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,aiohttp/protocol.py,858,4,0,28,381
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,aiohttp/__init__.py,22,0,0,16,381
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,aiohttp/server.py,326,0,1,8,381
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,aiohttp/helpers.py,260,0,0,128,106
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,aiohttp/client.py,926,3,0,22,381
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,examples/web_srv.py,55,0,0,2,3
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,aiohttp/parsers.py,449,3,0,0,381
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,aiohttp/abc.py,18,0,0,4,1
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,examples/wssrv.py,318,0,0,2,381
aiohttp,8a0295464c05e2f9159c8985fecf02f92079671a,2014-10-18T07:48:16-07:00,examples/mpsrv.py,293,0,0,2,381
aiohttp,4e2f592b0af3a8f52c2eda4ea6a19cdc8cae550b,2014-12-02T13:12:07-08:00,examples/srv.py,167,0,0,4,426
aiohttp,4e2f592b0af3a8f52c2eda4ea6a19cdc8cae550b,2014-12-02T13:12:07-08:00,aiohttp/web.py,1262,0,0,386,49
aiohttp,4e2f592b0af3a8f52c2eda4ea6a19cdc8cae550b,2014-12-02T13:12:07-08:00,aiohttp/protocol.py,857,6,0,14,426
aiohttp,4e2f592b0af3a8f52c2eda4ea6a19cdc8cae550b,2014-12-02T13:12:07-08:00,aiohttp/server.py,347,0,1,38,426
aiohttp,4e2f592b0af3a8f52c2eda4ea6a19cdc8cae550b,2014-12-02T13:12:07-08:00,aiohttp/helpers.py,309,0,0,24,152
aiohttp,4e2f592b0af3a8f52c2eda4ea6a19cdc8cae550b,2014-12-02T13:12:07-08:00,aiohttp/parsers.py,451,3,0,2,426
aiohttp,4e2f592b0af3a8f52c2eda4ea6a19cdc8cae550b,2014-12-02T13:12:07-08:00,examples/wssrv.py,318,0,0,4,426
aiohttp,4e2f592b0af3a8f52c2eda4ea6a19cdc8cae550b,2014-12-02T13:12:07-08:00,examples/mpsrv.py,293,0,0,4,426
aiohttp,4e2f592b0af3a8f52c2eda4ea6a19cdc8cae550b,2014-12-02T13:12:07-08:00,aiohttp/worker.py,86,0,1,64,426
