repo,sha,date,file,loc,warns_dup,warns_em,churn_14d
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,fastapi/openapi/models.py,352,0,0,6
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/{query-params-str-validations => query_params_str_validations}/tutorial004.py,0,0,0,0
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/{query-params-schema => query-params-str-validations}/tutorial004.py,0,0,0,0
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/{body-multiple-params => body_multiple_params}/tutorial003.py,0,0,0,3
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/path_operation_configuration/tutorial001.py,0,0,0,3
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/query-params-schema/tutorial006.py,0,0,0,11
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/all/tutorial023.py,0,0,0,18
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/all/tutorial047.py,0,0,0,8
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,tests/test_tutorial/test_application_configuration/test_tutorial001.py,0,0,0,34
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/{tutorial => }/src/path_operation_configuration/tutorial004.py,0,0,0,0
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/query_params/tutorial006.py,0,0,0,9
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/tutorial37.py,0,0,0,54
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/{tutorial => }/src/path_params_numeric_validations/tutorial006.py,0,0,0,0
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/{extra-models => extra_models}/tutorial002.py,0,0,0,3
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/tutorial39.py,0,0,0,52
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/{query-params-str-validations => query_params_str_validations}/tutorial009.py,0,0,0,0
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/query-params-schema/tutorial010.py,0,0,0,22
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/{query-params-str-validations => query_params_str_validations}/tutorial005.py,0,0,0,0
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/{python-types => python_types}/tutorial004.py,0,0,0,0
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/{tutorial => }/src/query_params/tutorial005.py,0,0,0,0
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/python-types/tutorial010.py,0,0,0,27
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/all/tutorial038.py,0,0,0,40
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/{custom-response => custom_response}/tutorial004.py,0,0,0,3
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/tutorial49.py,0,0,0,93
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,fastapi/encoders.py,44,0,0,139
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/{tutorial => }/src/body/tutorial004.py,0,0,0,0
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/tutorial67.py,0,0,0,151
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/{custom-response => custom_response}/tutorial001.py,0,0,0,3
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/tutorial62.py,0,0,0,24
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,tests/test_tutorial/test_query_params_str_validations/test_tutorial001.py,0,0,0,86
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/tutorial74.py,0,0,0,18
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/extra-models/tutorial001.py,0,0,0,42
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/custom-response/tutorial003.py,0,0,0,19
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/nosql_databases/tutorial001.py,0,0,0,2
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/src/dependencies/tutorial002.py,0,0,0,16
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/all/tutorial021.py,0,0,0,17
fastapi,315eb88900809938401bea855e8f407da1cb509c,2018-12-10T20:12:28+04:00,docs/tutorial/src/path-operation-configuration/tutorial005.py,0,0,0,33
