repo,sha,date,file,loc,warns_dup,warns_em,churn_14d
flask,61d07b8be9beae54d1c367adfc845dcf30a1512a,2010-04-16T12:29:52+02:00,examples/flaskr/flaskr_tests.py,66,0,0,10
flask,61d07b8be9beae54d1c367adfc845dcf30a1512a,2010-04-16T12:29:52+02:00,tests/flask_tests.py,188,0,0,316
flask,61d07b8be9beae54d1c367adfc845dcf30a1512a,2010-04-16T12:29:52+02:00,examples/minitwit/minitwit_tests.py,144,0,0,9
flask,61d07b8be9beae54d1c367adfc845dcf30a1512a,2010-04-16T12:29:52+02:00,setup.py,19,0,0,58
flask,61d07b8be9beae54d1c367adfc845dcf30a1512a,2010-04-16T12:29:52+02:00,examples/jqueryexample/jqueryexample.py,0,0,0,29
flask,61d07b8be9beae54d1c367adfc845dcf30a1512a,2010-04-16T12:29:52+02:00,examples/minitwit/minitwit.py,250,0,0,9
flask,61d07b8be9beae54d1c367adfc845dcf30a1512a,2010-04-16T12:29:52+02:00,docs/conf.py,245,0,0,36
flask,61d07b8be9beae54d1c367adfc845dcf30a1512a,2010-04-16T12:29:52+02:00,flask.py,663,0,0,778
flask,f4269b1fe7fe4c17a99bc7ca0dddafd17bed14e9,2010-05-12T02:06:40+02:00,tests/flask_tests.py,576,0,0,159
flask,f4269b1fe7fe4c17a99bc7ca0dddafd17bed14e9,2010-05-12T02:06:40+02:00,docs/conf.py,238,0,0,7
flask,f4269b1fe7fe4c17a99bc7ca0dddafd17bed14e9,2010-05-12T02:06:40+02:00,flask.py,1137,0,0,344
flask,54c3df60cd533ea80d347f6715ee84f6a560b5d5,2010-05-17T23:21:22+02:00,examples/flaskr/flaskr_tests.py,70,0,0,16
flask,54c3df60cd533ea80d347f6715ee84f6a560b5d5,2010-05-17T23:21:22+02:00,tests/flask_tests.py,689,0,0,133
flask,54c3df60cd533ea80d347f6715ee84f6a560b5d5,2010-05-17T23:21:22+02:00,setup.py,71,0,0,14
flask,54c3df60cd533ea80d347f6715ee84f6a560b5d5,2010-05-17T23:21:22+02:00,examples/minitwit/minitwit_tests.py,149,0,0,4
flask,54c3df60cd533ea80d347f6715ee84f6a560b5d5,2010-05-17T23:21:22+02:00,examples/flaskr/flaskr.py,98,0,0,10
flask,54c3df60cd533ea80d347f6715ee84f6a560b5d5,2010-05-17T23:21:22+02:00,examples/minitwit/minitwit.py,249,0,0,11
flask,54c3df60cd533ea80d347f6715ee84f6a560b5d5,2010-05-17T23:21:22+02:00,docs/conf.py,240,0,0,13
flask,54c3df60cd533ea80d347f6715ee84f6a560b5d5,2010-05-17T23:21:22+02:00,flask.py,1224,0,0,512
flask,672eaf7abf1452750688eeb4e294aca22cd3272a,2010-05-27T13:34:56+02:00,examples/flaskr/flaskr_tests.py,70,0,0,16
flask,672eaf7abf1452750688eeb4e294aca22cd3272a,2010-05-27T13:34:56+02:00,tests/flask_tests.py,740,0,0,125
flask,672eaf7abf1452750688eeb4e294aca22cd3272a,2010-05-27T13:34:56+02:00,setup.py,71,0,0,14
