repo,sha,date,file,loc,warns_dup,warns_em,churn_14d
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/test/rsession/testing/test_rest.py,347,0,0,48
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/apigen/testing/test_apigen_functional.py,146,0,0,80
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/bin/_docgen.py,0,0,0,68
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/apigen/htmlgen.py,604,5,0,693
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/test/rsession/web.py,430,0,0,43
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/doc/conftest.py,275,0,0,110
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/bin/_findpy.py,37,3,0,0
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/process/__init__.py,1,0,0,2
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/test/defaultconftest.py,103,0,0,23
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/test/testing/test_session.py,315,0,0,13
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/misc/testing/test_initpkg.py,247,0,0,12
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/apigen/tracer/testing/test_magic.py,48,0,0,48
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/bin/_makepyrelease.py,184,0,0,4
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/misc/std.py,15,0,0,6
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/io/__init__.py,1,0,0,2
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/test/rsession/rest.py,281,0,0,13
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/test/rsession/testing/test_rsession.py,330,0,0,265
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/test/rsession/testing/runtest.py,0,0,0,108
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/misc/buildcmodule.py,80,0,0,56
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/test/rsession/local.py,73,0,0,41
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/compat/__init__.py,1,0,0,3
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/test/representation.py,178,0,0,2
pytest,f13381e3f997dc5630ffd5523132abd438161bdc,2007-02-04T13:31:24+01:00,py/test/config.py,287,0,0,118
