repo,sha,date,file,loc,warns_dup,warns_em,churn_14d
records,b0047c6daf50c1cb9617c12544e84ca9dfc0020d,2016-02-06T23:34:31-05:00,tests/test_records.py,0,0,0,59
records,b0047c6daf50c1cb9617c12544e84ca9dfc0020d,2016-02-06T23:34:31-05:00,records.py,0,0,0,958
records,b0047c6daf50c1cb9617c12544e84ca9dfc0020d,2016-02-06T23:34:31-05:00,proto.py => records.py,0,0,0,0
records,b0047c6daf50c1cb9617c12544e84ca9dfc0020d,2016-02-06T23:34:31-05:00,tests/__init__.py,0,0,0,0
records,b0047c6daf50c1cb9617c12544e84ca9dfc0020d,2016-02-06T23:34:31-05:00,proto.py,119,0,0,79
records,b0047c6daf50c1cb9617c12544e84ca9dfc0020d,2016-02-06T23:34:31-05:00,setup.py,0,0,0,92
records,5bbac8f17c52ff4df83373d8aea4847d0016ff3c,2016-02-06T23:50:34-05:00,tests/test_records.py,0,0,0,59
records,5bbac8f17c52ff4df83373d8aea4847d0016ff3c,2016-02-06T23:50:34-05:00,records.py,0,0,0,958
records,5bbac8f17c52ff4df83373d8aea4847d0016ff3c,2016-02-06T23:50:34-05:00,proto.py => records.py,0,0,0,0
records,5bbac8f17c52ff4df83373d8aea4847d0016ff3c,2016-02-06T23:50:34-05:00,tests/__init__.py,0,0,0,0
records,5bbac8f17c52ff4df83373d8aea4847d0016ff3c,2016-02-06T23:50:34-05:00,proto.py,127,0,0,68
records,5bbac8f17c52ff4df83373d8aea4847d0016ff3c,2016-02-06T23:50:34-05:00,setup.py,0,0,0,92
records,f67f43d545c66f99c6dd0f3fa67485bf7d68fe38,2016-02-07T00:30:56-05:00,tests/test_records.py,0,0,0,59
records,f67f43d545c66f99c6dd0f3fa67485bf7d68fe38,2016-02-07T00:30:56-05:00,records.py,0,0,0,958
records,f67f43d545c66f99c6dd0f3fa67485bf7d68fe38,2016-02-07T00:30:56-05:00,proto.py => records.py,0,0,0,0
records,f67f43d545c66f99c6dd0f3fa67485bf7d68fe38,2016-02-07T00:30:56-05:00,tests/__init__.py,0,0,0,0
records,f67f43d545c66f99c6dd0f3fa67485bf7d68fe38,2016-02-07T00:30:56-05:00,proto.py,133,0,0,44
records,f67f43d545c66f99c6dd0f3fa67485bf7d68fe38,2016-02-07T00:30:56-05:00,setup.py,0,0,0,92
records,5b75832218b73d632b2b5fa67632d35baffe7873,2016-02-07T00:57:41-05:00,tests/test_records.py,0,0,0,59
records,5b75832218b73d632b2b5fa67632d35baffe7873,2016-02-07T00:57:41-05:00,records.py,0,0,0,958
records,5b75832218b73d632b2b5fa67632d35baffe7873,2016-02-07T00:57:41-05:00,proto.py => records.py,0,0,0,0
records,5b75832218b73d632b2b5fa67632d35baffe7873,2016-02-07T00:57:41-05:00,tests/__init__.py,0,0,0,0
records,5b75832218b73d632b2b5fa67632d35baffe7873,2016-02-07T00:57:41-05:00,proto.py,133,0,0,44
records,5b75832218b73d632b2b5fa67632d35baffe7873,2016-02-07T00:57:41-05:00,setup.py,0,0,0,92
records,6c2c886de14add1ae3a90c7de48196678aed18be,2016-02-07T01:14:01-05:00,tests/test_records.py,0,0,0,59
records,6c2c886de14add1ae3a90c7de48196678aed18be,2016-02-07T01:14:01-05:00,records.py,0,0,0,958
records,6c2c886de14add1ae3a90c7de48196678aed18be,2016-02-07T01:14:01-05:00,proto.py => records.py,0,0,0,0
records,6c2c886de14add1ae3a90c7de48196678aed18be,2016-02-07T01:14:01-05:00,tests/__init__.py,0,0,0,0
records,6c2c886de14add1ae3a90c7de48196678aed18be,2016-02-07T01:14:01-05:00,proto.py,133,0,0,44
records,6c2c886de14add1ae3a90c7de48196678aed18be,2016-02-07T01:14:01-05:00,setup.py,0,0,0,92
records,9f0765b3f61ace0e2c54ac781163a8113e340428,2016-02-07T01:14:40-05:00,tests/test_records.py,0,0,0,59
records,9f0765b3f61ace0e2c54ac781163a8113e340428,2016-02-07T01:14:40-05:00,records.py,0,0,0,958
records,9f0765b3f61ace0e2c54ac781163a8113e340428,2016-02-07T01:14:40-05:00,proto.py => records.py,0,0,0,0
records,9f0765b3f61ace0e2c54ac781163a8113e340428,2016-02-07T01:14:40-05:00,tests/__init__.py,0,0,0,0
records,9f0765b3f61ace0e2c54ac781163a8113e340428,2016-02-07T01:14:40-05:00,proto.py,133,0,0,44
records,9f0765b3f61ace0e2c54ac781163a8113e340428,2016-02-07T01:14:40-05:00,setup.py,0,0,0,92
records,f582f86800b3fb10d9767bb2cfb153d8b1aa656c,2016-02-07T01:24:36-05:00,tests/test_records.py,0,0,0,59
records,f582f86800b3fb10d9767bb2cfb153d8b1aa656c,2016-02-07T01:24:36-05:00,records.py,0,0,0,958
records,f582f86800b3fb10d9767bb2cfb153d8b1aa656c,2016-02-07T01:24:36-05:00,proto.py => records.py,0,0,0,0
records,f582f86800b3fb10d9767bb2cfb153d8b1aa656c,2016-02-07T01:24:36-05:00,tests/__init__.py,0,0,0,0
records,f582f86800b3fb10d9767bb2cfb153d8b1aa656c,2016-02-07T01:24:36-05:00,proto.py,133,0,0,44
records,f582f86800b3fb10d9767bb2cfb153d8b1aa656c,2016-02-07T01:24:36-05:00,setup.py,0,0,0,92
records,9885b204a9f6b85e5d312adfe3aa0f7ca17faa88,2016-02-07T01:31:34-05:00,tests/test_records.py,0,0,0,59
records,9885b204a9f6b85e5d312adfe3aa0f7ca17faa88,2016-02-07T01:31:34-05:00,records.py,0,0,0,958
records,9885b204a9f6b85e5d312adfe3aa0f7ca17faa88,2016-02-07T01:31:34-05:00,proto.py => records.py,0,0,0,0
records,9885b204a9f6b85e5d312adfe3aa0f7ca17faa88,2016-02-07T01:31:34-05:00,tests/__init__.py,0,0,0,0
records,9885b204a9f6b85e5d312adfe3aa0f7ca17faa88,2016-02-07T01:31:34-05:00,proto.py,133,0,0,44
records,9885b204a9f6b85e5d312adfe3aa0f7ca17faa88,2016-02-07T01:31:34-05:00,setup.py,0,0,0,92
records,fab4c6039a8be9f8d6509585cb25101e275bd863,2016-02-07T01:34:28-05:00,tests/test_records.py,0,0,0,59
records,fab4c6039a8be9f8d6509585cb25101e275bd863,2016-02-07T01:34:28-05:00,records.py,0,0,0,958
records,fab4c6039a8be9f8d6509585cb25101e275bd863,2016-02-07T01:34:28-05:00,proto.py => records.py,0,0,0,0
records,fab4c6039a8be9f8d6509585cb25101e275bd863,2016-02-07T01:34:28-05:00,tests/__init__.py,0,0,0,0
records,fab4c6039a8be9f8d6509585cb25101e275bd863,2016-02-07T01:34:28-05:00,proto.py,133,0,0,44
records,fab4c6039a8be9f8d6509585cb25101e275bd863,2016-02-07T01:34:28-05:00,setup.py,0,0,0,92
records,49c74697f8dd93a8e5ed1862da438d98e97b660f,2016-02-07T01:35:15-05:00,tests/test_records.py,0,0,0,59
records,49c74697f8dd93a8e5ed1862da438d98e97b660f,2016-02-07T01:35:15-05:00,records.py,0,0,0,958
records,49c74697f8dd93a8e5ed1862da438d98e97b660f,2016-02-07T01:35:15-05:00,proto.py => records.py,0,0,0,0
records,49c74697f8dd93a8e5ed1862da438d98e97b660f,2016-02-07T01:35:15-05:00,tests/__init__.py,0,0,0,0
records,49c74697f8dd93a8e5ed1862da438d98e97b660f,2016-02-07T01:35:15-05:00,proto.py,133,0,0,44
records,49c74697f8dd93a8e5ed1862da438d98e97b660f,2016-02-07T01:35:15-05:00,setup.py,0,0,0,92
records,1b446528ab77c06ef2244c021aab9abbd9c9840d,2016-02-07T01:46:43-05:00,tests/test_records.py,0,0,0,59
records,1b446528ab77c06ef2244c021aab9abbd9c9840d,2016-02-07T01:46:43-05:00,records.py,0,0,0,958
records,1b446528ab77c06ef2244c021aab9abbd9c9840d,2016-02-07T01:46:43-05:00,proto.py => records.py,0,0,0,0
records,1b446528ab77c06ef2244c021aab9abbd9c9840d,2016-02-07T01:46:43-05:00,tests/__init__.py,0,0,0,0
records,1b446528ab77c06ef2244c021aab9abbd9c9840d,2016-02-07T01:46:43-05:00,proto.py,133,0,0,44
records,1b446528ab77c06ef2244c021aab9abbd9c9840d,2016-02-07T01:46:43-05:00,setup.py,0,0,0,92
records,e59df0381380326086393dca9540976426a899c2,2016-02-07T01:58:23-05:00,tests/test_records.py,0,0,0,59
records,e59df0381380326086393dca9540976426a899c2,2016-02-07T01:58:23-05:00,records.py,0,0,0,958
records,e59df0381380326086393dca9540976426a899c2,2016-02-07T01:58:23-05:00,proto.py => records.py,0,0,0,0
records,e59df0381380326086393dca9540976426a899c2,2016-02-07T01:58:23-05:00,tests/__init__.py,0,0,0,0
records,e59df0381380326086393dca9540976426a899c2,2016-02-07T01:58:23-05:00,proto.py,137,0,0,24
records,e59df0381380326086393dca9540976426a899c2,2016-02-07T01:58:23-05:00,setup.py,0,0,0,92
records,ddd73e82fe5a53f0fdd1f7e5415680c9cf023bae,2016-02-07T02:15:26-05:00,tests/test_records.py,0,0,0,59
records,ddd73e82fe5a53f0fdd1f7e5415680c9cf023bae,2016-02-07T02:15:26-05:00,records.py,137,0,0,958
records,ddd73e82fe5a53f0fdd1f7e5415680c9cf023bae,2016-02-07T02:15:26-05:00,setup.py,0,0,0,92
records,ddd73e82fe5a53f0fdd1f7e5415680c9cf023bae,2016-02-07T02:15:26-05:00,tests/__init__.py,0,0,0,0
records,b4b630f40d478f208d46d6410aceaa4f854c1a4d,2016-02-07T02:16:04-05:00,tests/test_records.py,0,0,0,59
records,b4b630f40d478f208d46d6410aceaa4f854c1a4d,2016-02-07T02:16:04-05:00,records.py,137,0,0,958
records,b4b630f40d478f208d46d6410aceaa4f854c1a4d,2016-02-07T02:16:04-05:00,setup.py,54,0,0,92
records,b4b630f40d478f208d46d6410aceaa4f854c1a4d,2016-02-07T02:16:04-05:00,tests/__init__.py,0,0,0,0
records,51aa01b44c9ce1e37c498c583097143b6fc5d478,2016-02-07T03:42:49-05:00,tests/test_records.py,0,0,0,59
records,51aa01b44c9ce1e37c498c583097143b6fc5d478,2016-02-07T03:42:49-05:00,records.py,137,0,0,958
records,51aa01b44c9ce1e37c498c583097143b6fc5d478,2016-02-07T03:42:49-05:00,setup.py,54,0,0,34
records,51aa01b44c9ce1e37c498c583097143b6fc5d478,2016-02-07T03:42:49-05:00,tests/__init__.py,0,0,0,0
records,eb8e133fb410e26df439e2da3ac48941dbeb5df4,2016-02-07T05:09:31-05:00,tests/test_records.py,0,0,0,59
